userName,major,researchExp,industryExp,specialization,toeflScore,program,department,toeflEssay,internExp,greV,greQ,userProfileLink,journalPubs,greA,topperCgpa,termAndYear,confPubs,ugCollege,gmatA,cgpa,gmatQ,cgpaScale,gmatV,univName,admit
143saf,Systems and Control,0,18,Robotics,112,MS,Instrumentation & Control,26,5,160,167,http://www.edulix.com/unisearch/user.php?uid=252766,0,4.5,8.9,Fall - 2015,0,Dharamsinh Desai University,,8.5,,10,,Worcester Polytechnic Institute,1
7790ashish,Manufacturing Engineering,0,0,,,MS,0,,0,,,http://www.edulix.com/unisearch/user.php?uid=196141,0,,0,Fall - 2013,0,,,0,,0,,Worcester Polytechnic Institute,1
AB25,(MIS / MSIM / MSIS / MSIT),0,66,,94,MS,Computer Engineering,21,0,146,157,http://www.edulix.com/unisearch/user.php?uid=226830,0,3,81,Fall - 2015,0,IET DAVV,,78.28,,100,,Worcester Polytechnic Institute,1
abhijitg,,0,0,,,,0,,0,,,http://www.edulix.com/unisearch/user.php?uid=10967,,,0,,,,,0,,0,,Worcester Polytechnic Institute,1
abhijitgang,MIS,0,0,,81,MS,computer,,0,420,770,http://www.edulix.com/unisearch/user.php?uid=11013,0,2.5,70,Fall - 2011,0,Pune University,,57,,100,,Worcester Polytechnic Institute,1
abhishek001,MIS,0,0,Information Security Management,273,MS,CE,6,0,410,1010,http://www.edulix.com/unisearch/user.php?uid=145,0,600,75,Fall - 2006,0,Thadomal Shahani Engineering College,,52,,100,,Worcester Polytechnic Institute,1
agteakash,MIS,0,0,Business Analytics,104,MS,Computer Engineering,27,0,150,161,http://www.edulix.com/unisearch/user.php?uid=265528,0,4.5,77.81,Fall - 2015,0,University of Mumbai,,62.2,,100,,Worcester Polytechnic Institute,1
alankarMIS,MIS-management related courses,0,0,,95,MS,IT,22,0,147,156,http://www.edulix.com/unisearch/user.php?uid=130432,0,3,76,Fall - 2012,0,MU,,52,,100,,Worcester Polytechnic Institute,1
amandeepsharma89,MIS,0,0,,101,MS,I.T,24,0,490,740,http://www.edulix.com/unisearch/user.php?uid=6415,0,3,74,Fall - 2011,0,MU,,64,,100,,Worcester Polytechnic Institute,1
amatelia3,Computer Science,0,0,,107,MS,Information Technology,,0,550,780,http://www.edulix.com/unisearch/user.php?uid=4175,0,4.5,0,Fall - 2011,0,K J Somaiya College of Engiineering,,71.4,,100,,Worcester Polytechnic Institute,1
ananthvenky,MIS,0,0,,94,MS,IT,21,0,420,680,http://www.edulix.com/unisearch/user.php?uid=140750,0,3.5,0,Fall - 2012,0,RAIT,,57.3,,100,,Worcester Polytechnic Institute,1
anujajayku,Computer Science,0,0,,99,MS,Electronics,,0,490,780,http://www.edulix.com/unisearch/user.php?uid=11478,0,3.5,77,Fall - 2011,0,RAIT,,65,,100,,Worcester Polytechnic Institute,1
anujku,Computer Science,0,0,???,99,MS,Electronics,,0,490,780,http://www.edulix.com/unisearch/user.php?uid=9799,0,3.5,75,Fall - 2011,0,Ramrao Adik Institute of Technology,,65,,100,,Worcester Polytechnic Institute,1
anujku007,Computer Science,0,0,,99,MS,Electronics,,0,490,780,http://www.edulix.com/unisearch/user.php?uid=9885,0,3.5,75,Fall - 2011,0,Ramrao Adik Institute of Technology,,65,,100,,Worcester Polytechnic Institute,1
Anurag2791,MIS,0,0,Consulting/Analytics.,91,MS,Computer,21,0,146,161,http://www.edulix.com/unisearch/user.php?uid=179271,0,3,65,Fall - 2016,0,University of Pune,,54.84,,100,,Worcester Polytechnic Institute,1
ApoorvaVerma,(MIS / MSIM / MSIS / MSIT),0,39,MS- IS,101,MS,CS,24,0,149,159,http://www.edulix.com/unisearch/user.php?uid=216407,0,3,80,Fall - 2015,0,AITR RGPV,,76.5,,100,,Worcester Polytechnic Institute,1
arji,Mechanical Engineering,0,0,Fluid Mechanics Thermal Sciences & Energy,96,MS,Mechanical Engineering,,0,620,690,http://www.edulix.com/unisearch/user.php?uid=4174,0,3,81,Spring - 2011,0,University of Rajasthan,,70.5,,100,,Worcester Polytechnic Institute,1
ashwinsathy,MIS,0,24,,98,MS,Electronics Engineering,,0,143,159,http://www.edulix.com/unisearch/user.php?uid=164178,0,3,80,Fall - 2015,0,MU,,55,,100,,Worcester Polytechnic Institute,1
asrivas2,Computer Science,0,0,Networks AI,111,MS,Computer Science,,0,156,159,http://www.edulix.com/unisearch/user.php?uid=166272,0,3.5,82,Fall - 2014,0,RGPV,,72.38,,100,,Worcester Polytechnic Institute,1
balakumar-s,Robotics,0,0,Autonomous vehicles,112,MS,Mechatronics,29,0,154,161,http://www.edulix.com/unisearch/user.php?uid=219195,0,3.5,9.5,Fall - 2014,0,SASTRA,,7.8,,10,,Worcester Polytechnic Institute,1
bannu12345,MIS-management related courses,0,0,,94,MS,COMPUTER,,0,590,720,http://www.edulix.com/unisearch/user.php?uid=131454,0,3,0,Fall - 2012,0,FCRIT NAVIM MUBAI,,63.24,,100,,Worcester Polytechnic Institute,1
bharathinaidu,Electronics and Communication,0,0,,99,MS,ECE,,0,143,162,http://www.edulix.com/unisearch/user.php?uid=173306,0,3.5,9.43,Fall - 2013,0,GITAM,,8.74,,10,,Worcester Polytechnic Institute,1
bshah8214,MIS,0,0,,105,MS,Computer Engineering,,0,148,160,http://www.edulix.com/unisearch/user.php?uid=157721,0,3.5,0,Fall - 2012,0,K J Somaiya College of Engiineering,,0,,0,,Worcester Polytechnic Institute,1
chetanprabhu1988,MIS,0,0,,105,MS,Information Technology,27,0,430,720,http://www.edulix.com/unisearch/user.php?uid=123789,0,3.5,78,Fall - 2012,0,MU,,64,,100,,Worcester Polytechnic Institute,1
churiver86,MIS,0,0,,94,MS,MIS,,0,32,50,http://www.edulix.com/unisearch/user.php?uid=4574,0,4.5,3.7,Fall - 2011,0,SHU,,3.1,,4,,Worcester Polytechnic Institute,1
